"","from","to","weight","type","subtype","name"
"112",14,4,13.9960079849767,"pottery","decor","folded_strip_roulette"
"113",14,15,8.5397964687606,"pottery","decor","folded_strip_roulette"
"114",14,16,2.97172404570957,"pottery","decor","folded_strip_roulette"
"115",14,17,23.805150437535,"pottery","decor","folded_strip_roulette"
"116",14,22,85.9203436871745,"pottery","decor","folded_strip_roulette"
"117",4,15,20.8336162988115,"pottery","decor","folded_strip_roulette"
"118",4,16,7.24979321705666,"pottery","decor","folded_strip_roulette"
"119",4,17,58.0748466272366,"pottery","decor","folded_strip_roulette"
"120",4,22,209.610554442218,"pottery","decor","folded_strip_roulette"
"121",15,16,4.42352980797962,"pottery","decor","folded_strip_roulette"
"122",15,17,35.4349162049236,"pottery","decor","folded_strip_roulette"
"123",15,22,127.895859630977,"pottery","decor","folded_strip_roulette"
"124",16,17,12.3308316455881,"pottery","decor","folded_strip_roulette"
"125",16,22,44.5058852166333,"pottery","decor","folded_strip_roulette"
"126",17,22,356.516714419439,"pottery","decor","folded_strip_roulette"
"127",1,18,100,"pottery","decor","braided_strip_roulette"
"128",1,14,473.0538922,"pottery","decor","braided_strip_roulette"
"129",1,19,380,"pottery","decor","braided_strip_roulette"
"130",1,4,453,"pottery","decor","braided_strip_roulette"
"131",1,5,625.0604741,"pottery","decor","braided_strip_roulette"
"132",1,6,149.837483,"pottery","decor","braided_strip_roulette"
"133",18,14,473.0538922,"pottery","decor","braided_strip_roulette"
"134",18,19,380,"pottery","decor","braided_strip_roulette"
"135",18,4,453,"pottery","decor","braided_strip_roulette"
"136",18,5,625.0604741,"pottery","decor","braided_strip_roulette"
"137",18,6,149.837483,"pottery","decor","braided_strip_roulette"
"138",14,19,1797.60479036,"pottery","decor","braided_strip_roulette"
"139",14,4,2142.934131666,"pottery","decor","braided_strip_roulette"
"140",14,5,2956.87290133382,"pottery","decor","braided_strip_roulette"
"141",14,6,708.812045306013,"pottery","decor","braided_strip_roulette"
"142",19,4,1721.4,"pottery","decor","braided_strip_roulette"
"143",19,5,2375.22980158,"pottery","decor","braided_strip_roulette"
"144",19,6,569.3824354,"pottery","decor","braided_strip_roulette"
"145",4,5,2831.523947673,"pottery","decor","braided_strip_roulette"
"146",4,6,678.76379799,"pottery","decor","braided_strip_roulette"
"147",5,6,936.574881619307,"pottery","decor","braided_strip_roulette"
"148",7,2,130.8980213,"pottery","decor","braided_cord_roulette"
"149",7,8,26.3111600569468,"pottery","decor","braided_cord_roulette"
"150",7,3,8.87611528231332,"pottery","decor","braided_cord_roulette"
"151",7,10,598.325456360779,"pottery","decor","braided_cord_roulette"
"152",7,11,544.130338166628,"pottery","decor","braided_cord_roulette"
"153",7,12,558.183754457901,"pottery","decor","braided_cord_roulette"
"154",7,13,130.8980213,"pottery","decor","braided_cord_roulette"
"155",7,20,75.1567586377663,"pottery","decor","braided_cord_roulette"
"156",7,14,117.573073022071,"pottery","decor","braided_cord_roulette"
"157",7,4,47.0796549942334,"pottery","decor","braided_cord_roulette"
"158",7,6,1.33842557890361,"pottery","decor","braided_cord_roulette"
"159",7,15,60.0041863344652,"pottery","decor","braided_cord_roulette"
"160",7,16,303.696401830002,"pottery","decor","braided_cord_roulette"
